n,method,regime,scenario,delta,variable,comparison,n_pairs,mean_diff,se_diff
1500,RBC MSE,shrinking_delta,S_shrink_delta_0.0289,0.0288675134594812,estimate,S_shrink_delta_0.0289 - continuous,5000,0.0037940750867929353,0.00037668188415025444
2000,Bias-aware/Honest,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.003153606821501285,0.00011969788327985219
2000,Bias-aware/Honest,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.005422123041478116,0.00017589493006599694
2000,Bias-aware/Honest,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.007715249287228599,0.00023360561670418342
2000,Bias-aware/Honest,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.013200261288018395,0.00028962433628637135
2000,Bias-aware/Honest,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.015556869020815168,0.0003635149722512038
2000,Bias-aware/Honest,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,5000,0.02288565025267798,0.00039466210486066745
2000,Bias-aware/Honest,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4996,0.0367114981667208,0.0004410400144493915
2000,Bias-aware/Honest,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,4832,0.05291097617812696,0.0004935661289410687
2000,Bias-aware/Honest,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,4040,0.07222723091399301,0.000569865014794248
2000,Bias-aware/Honest,shrinking_delta,S_shrink_delta_0.0250,0.025,estimate,S_shrink_delta_0.0250 - continuous,5000,0.013200261288018395,0.00028962433628637135
2000,Conventional MSE,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.003153606821501325,0.00011969788327985398
2000,Conventional MSE,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.005422123041478294,0.00017589493006600377
2000,Conventional MSE,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.007715249287228298,0.00023360561670418691
2000,Conventional MSE,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.01320026128801835,0.000289624336286378
2000,Conventional MSE,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.015556869020815094,0.00036351497225120533
2000,Conventional MSE,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,5000,0.02288565025267827,0.00039466210486066236
