n,method,regime,scenario,delta,variable,comparison,n_pairs,mean_diff,se_diff
5000,Conventional MSE,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,114,0.09394094232660032,0.00263931856352128
5000,Conventional MSE,shrinking_delta,S_shrink_delta_0.0158,0.0158113883008419,estimate,S_shrink_delta_0.0158 - continuous,5000,0.005835634238084281,0.0001519221529230249
5000,RBC MSE,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.0006206451267365594,9.558371323450747e-05
5000,RBC MSE,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.0011134702338520767,0.00014425483301991904
5000,RBC MSE,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.0016259776882450712,0.00019251362748005203
5000,RBC MSE,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.0019332856354944002,0.0002554420690910752
5000,RBC MSE,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.0043342777578350665,0.0002991853079894012
5000,RBC MSE,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,4962,0.006299050833276728,0.00035348174208371837
5000,RBC MSE,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4014,0.01370021040992241,0.00041415737785459046
5000,RBC MSE,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,968,0.03229318316861381,0.0008673518575072047
5000,RBC MSE,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,114,0.057088334781877664,0.0027107561978674016
5000,RBC MSE,shrinking_delta,S_shrink_delta_0.0158,0.0158113883008419,estimate,S_shrink_delta_0.0158 - continuous,5000,0.0010827682780546717,0.00015219016381947867
500,Bias-aware/Honest,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,0.01658440317242224,0.0004904932671248815
500,Bias-aware/Honest,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,0.02349803192809454,0.0006440698351532372
500,Bias-aware/Honest,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,0.03378675534684289,0.0008152503295474287
500,Bias-aware/Honest,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,0.04784527537752603,0.0009632651103758201
500,Bias-aware/Honest,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,0.051523636470235445,0.0011395892354138196
500,Bias-aware/Honest,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,0.06748124337890707,0.0012349626394657623
500,Bias-aware/Honest,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,5000,0.11176737267118661,0.0013310311564500355
500,Bias-aware/Honest,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,5000,0.173365423929694,0.0013998112254967941
500,Bias-aware/Honest,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4998,0.2482572617266365,0.001446357367962291
500,Bias-aware/Honest,fixed_delta_0.055,F_delta_0.055,0.055,ci_length,F_delta_0.055 - continuous,4991,0.335374850504868,0.0014777678465560196
500,Bias-aware/Honest,fixed_delta_0.06,F_delta_0.06,0.06,ci_length,F_delta_0.06 - continuous,4955,0.4340206320316552,0.0015085477694001628
500,Bias-aware/Honest,fixed_delta_0.065,F_delta_0.065,0.065,ci_length,F_delta_0.065 - continuous,4865,0.5429981647318076,0.001542744802548147
500,Bias-aware/Honest,fixed_delta_0.07,F_delta_0.07,0.07,ci_length,F_delta_0.07 - continuous,4668,0.6625793833583709,0.0015976277047846444
500,Bias-aware/Honest,fixed_delta_0.075,F_delta_0.075,0.075,ci_length,F_delta_0.075 - continuous,4285,0.7912465155269298,0.0016821929446588675
500,Bias-aware/Honest,fixed_delta_0.08,F_delta_0.08,0.08,ci_length,F_delta_0.08 - continuous,3694,0.9311675874905919,0.001842035552469218
500,Bias-aware/Honest,fixed_delta_0.09,F_delta_0.09,0.09,ci_length,F_delta_0.09 - continuous,2636,1.2443225294712452,0.0021968870155484846
500,Bias-aware/Honest,fixed_delta_0.1,F_delta_0.1,0.1,ci_length,F_delta_0.1 - continuous,2101,1.5992807494770827,0.002472387537254527
500,Bias-aware/Honest,fixed_delta_0.12,F_delta_0.12,0.12,ci_length,F_delta_0.12 - continuous,48,2.4175222882589864,0.018250976774474105
500,Bias-aware/Honest,shrinking_delta,S_shrink_delta_0.0500,0.05,ci_length,S_shrink_delta_0.0500 - continuous,4998,0.2482572617266365,0.001446357367962291
500,Conventional MSE,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,0.009246529751490247,0.0006198022268905994
500,Conventional MSE,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,0.004235956406581929,0.0007795578623061255
500,Conventional MSE,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,0.0030718361228299846,0.000992969646370201
500,Conventional MSE,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,-0.0046734662723366864,0.001084512033576971
500,Conventional MSE,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,-0.012302108333080354,0.0011250708840474057
500,Conventional MSE,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,-0.013839338020925447,0.001155928691631477
500,Conventional MSE,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,5000,-0.010576191212923282,0.001194020835340155
500,Conventional MSE,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,5000,-0.011547197557697984,0.0011996669005259685
500,Conventional MSE,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4998,-0.0223563230320141,0.0012439426687660465
500,Conventional MSE,fixed_delta_0.055,F_delta_0.055,0.055,ci_length,F_delta_0.055 - continuous,4991,-0.03519020279434109,0.0012517573133059108
500,Conventional MSE,fixed_delta_0.06,F_delta_0.06,0.06,ci_length,F_delta_0.06 - continuous,4955,-0.04703757696934635,0.001268201486546419
500,Conventional MSE,fixed_delta_0.065,F_delta_0.065,0.065,ci_length,F_delta_0.065 - continuous,4865,-0.057627634590316265,0.0012995249016938242
500,Conventional MSE,fixed_delta_0.07,F_delta_0.07,0.07,ci_length,F_delta_0.07 - continuous,4668,-0.06610896838899503,0.0013257099695679587
500,Conventional MSE,fixed_delta_0.075,F_delta_0.075,0.075,ci_length,F_delta_0.075 - continuous,4285,-0.07443314794037124,0.0013742251189765567
500,Conventional MSE,fixed_delta_0.08,F_delta_0.08,0.08,ci_length,F_delta_0.08 - continuous,3694,-0.08130192361242009,0.001484376851769744
500,Conventional MSE,fixed_delta_0.09,F_delta_0.09,0.09,ci_length,F_delta_0.09 - continuous,2636,-0.09304053836381611,0.0017177585124881923
500,Conventional MSE,fixed_delta_0.1,F_delta_0.1,0.1,ci_length,F_delta_0.1 - continuous,2101,-0.1058260437454622,0.001930536098760761
500,Conventional MSE,fixed_delta_0.12,F_delta_0.12,0.12,ci_length,F_delta_0.12 - continuous,48,-0.12132886451216163,0.01200596391833361
500,Conventional MSE,shrinking_delta,S_shrink_delta_0.0500,0.05,ci_length,S_shrink_delta_0.0500 - continuous,4998,-0.0223563230320141,0.0012439426687660465
500,RBC MSE,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,0.011571822909597672,0.0006762664299729685
500,RBC MSE,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,0.007368360557745723,0.0008523482629356178
500,RBC MSE,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,0.006984409703741459,0.0010916959243736433
500,RBC MSE,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,-4.494186910117759e-05,0.0011983270617257186
500,RBC MSE,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,-0.00694993042551925,0.0012361217753088687
500,RBC MSE,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,-0.0058377909722550055,0.001267267945366395
500,RBC MSE,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,5000,-0.00042844925252201883,0.0013060207484465235
500,RBC MSE,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,5000,0.00166502579482282,0.0012991975362421353
500,RBC MSE,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4998,-0.005549124804923117,0.0013474862849024714
500,RBC MSE,fixed_delta_0.055,F_delta_0.055,0.055,ci_length,F_delta_0.055 - continuous,4991,-0.013222891843048363,0.0013573480641596433
500,RBC MSE,fixed_delta_0.06,F_delta_0.06,0.06,ci_length,F_delta_0.06 - continuous,4955,-0.02218181490889757,0.001380308039239151
500,RBC MSE,fixed_delta_0.065,F_delta_0.065,0.065,ci_length,F_delta_0.065 - continuous,4865,-0.03122489790628073,0.0014156363876218984
500,RBC MSE,fixed_delta_0.07,F_delta_0.07,0.07,ci_length,F_delta_0.07 - continuous,4668,-0.03831945135393786,0.0014488808369017294
500,RBC MSE,fixed_delta_0.075,F_delta_0.075,0.075,ci_length,F_delta_0.075 - continuous,4285,-0.04391059470530477,0.0015112718053063858
500,RBC MSE,fixed_delta_0.08,F_delta_0.08,0.08,ci_length,F_delta_0.08 - continuous,3694,-0.04675440005349694,0.0016459887090190888
500,RBC MSE,fixed_delta_0.09,F_delta_0.09,0.09,ci_length,F_delta_0.09 - continuous,2636,-0.050778518174718526,0.0019327989311938383
500,RBC MSE,fixed_delta_0.1,F_delta_0.1,0.1,ci_length,F_delta_0.1 - continuous,2101,-0.06248573739682376,0.002175164937127355
500,RBC MSE,fixed_delta_0.12,F_delta_0.12,0.12,ci_length,F_delta_0.12 - continuous,48,-0.057950646515580385,0.013099771560038706
500,RBC MSE,shrinking_delta,S_shrink_delta_0.0500,0.05,ci_length,S_shrink_delta_0.0500 - continuous,4998,-0.005549124804923117,0.0013474862849024714
750,Bias-aware/Honest,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,0.013465801547680407,0.00033174488859563054
750,Bias-aware/Honest,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,0.020934767950462636,0.0004475213992366711
750,Bias-aware/Honest,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,0.029900687001830288,0.0005575431424048536
750,Bias-aware/Honest,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,0.04609710716740218,0.0007183319487275322
750,Bias-aware/Honest,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,0.04880444151488817,0.0007952614176816638
750,Bias-aware/Honest,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,0.08241263971753195,0.0008740975351692303
750,Bias-aware/Honest,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,5000,0.13647139052750673,0.0009288039708527761
750,Bias-aware/Honest,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,4998,0.20213406548291465,0.0009641617660470781
750,Bias-aware/Honest,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4991,0.2804840660338111,0.000994583443737988
750,Bias-aware/Honest,shrinking_delta,S_shrink_delta_0.0408,0.0408248290463863,ci_length,S_shrink_delta_0.0408 - continuous,5000,0.14667118559766137,0.0009384659027140994
750,Conventional MSE,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,0.0022574158161982627,0.0003973798761386126
750,Conventional MSE,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,-0.002672186041471611,0.00047438965571143825
750,Conventional MSE,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,-0.004563702323571006,0.0005557700188684943
750,Conventional MSE,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,-0.006300214811012841,0.0005814313698509842
750,Conventional MSE,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,-0.00651788743816641,0.0006088469430717162
750,Conventional MSE,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,-0.001735942959177255,0.0006599848058396908
750,Conventional MSE,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,5000,0.0037030521655004116,0.0006940638412636141
750,Conventional MSE,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,4998,-0.00416333636272729,0.000723580255176186
750,Conventional MSE,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4991,-0.01640689913623659,0.0007422815295076868
750,Conventional MSE,shrinking_delta,S_shrink_delta_0.0408,0.0408248290463863,ci_length,S_shrink_delta_0.0408 - continuous,5000,0.003294972818622999,0.000699374239569906
750,RBC MSE,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,0.003635966110708818,0.0004305155186353032
750,RBC MSE,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,-0.0008087027104802587,0.0005153792439242553
750,RBC MSE,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,-0.0019518701636395811,0.0006045666499717049
750,RBC MSE,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,-0.0023287221293033134,0.0006325853663578965
750,RBC MSE,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,-0.00042351075875542285,0.0006583586451764447
750,RBC MSE,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,0.006729161866658562,0.0007099404964710004
750,RBC MSE,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,5000,0.014115231937878456,0.0007419352644316885
750,RBC MSE,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,4998,0.012498035031541434,0.0007708816411873417
750,RBC MSE,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4991,0.0050659671230800325,0.0007929789305782058
750,RBC MSE,shrinking_delta,S_shrink_delta_0.0408,0.0408248290463863,ci_length,S_shrink_delta_0.0408 - continuous,5000,0.014212915992232351,0.0007487360678329259
1000,Bias-aware/Honest,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,0.012168069189495196,0.00026796930141489956
1000,Bias-aware/Honest,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,0.020449178441775122,0.0003644820180821369
1000,Bias-aware/Honest,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,0.032622534150228116,0.0004559982775451118
1000,Bias-aware/Honest,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,0.041991829221831506,0.0005889662526591166
1000,Bias-aware/Honest,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,0.051321772176794775,0.0006331972049445542
1000,Bias-aware/Honest,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,0.09461889938028872,0.0007011200245976094
1000,Bias-aware/Honest,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,4999,0.15032041554265307,0.0007396174763082825
1000,Bias-aware/Honest,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,4993,0.21836354102364186,0.0007656628299460383
1000,Bias-aware/Honest,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4966,0.2985017523274421,0.0007846422659656371
1000,Bias-aware/Honest,shrinking_delta,S_shrink_delta_0.0354,0.0353553390593273,ci_length,S_shrink_delta_0.0354 - continuous,5000,0.09822288701688472,0.0007036278165265245
1000,Conventional MSE,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,-0.0004929831687986954,0.0002805072148039955
1000,Conventional MSE,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,-0.003010970019999716,0.0003334451788000763
1000,Conventional MSE,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,-0.003414759282267117,0.0003624655448778155
1000,Conventional MSE,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,-0.0018834920692103769,0.0003995396104524996
1000,Conventional MSE,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,-0.0023868020738072484,0.00043910413766683204
1000,Conventional MSE,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,0.0063919154722712835,0.0004902173394740159
1000,Conventional MSE,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,4999,0.005218799705176612,0.0005056297199404801
1000,Conventional MSE,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,4993,-0.006056099046145383,0.0005267949542237369
1000,Conventional MSE,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4966,-0.01723017222320672,0.0005391477035261633
1000,Conventional MSE,shrinking_delta,S_shrink_delta_0.0354,0.0353553390593273,ci_length,S_shrink_delta_0.0354 - continuous,5000,0.00687362608748534,0.0004930341767579325
1000,RBC MSE,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,0.0005107031835172243,0.00030260178391859974
1000,RBC MSE,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,-0.0013787349146898058,0.00035970128307845356
1000,RBC MSE,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,-0.0007703758800821137,0.0003902736460083182
1000,RBC MSE,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,0.002178164954798196,0.00042964563201393997
1000,RBC MSE,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,0.004310616891507705,0.0004712242807583972
1000,RBC MSE,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,0.014319653086708016,0.000519261073224822
1000,RBC MSE,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,4999,0.016513825745618792,0.0005361194627109804
1000,RBC MSE,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,4993,0.012782815543933084,0.0005581519678345686
1000,RBC MSE,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4966,0.005709816510666733,0.0005749570264369463
1000,RBC MSE,shrinking_delta,S_shrink_delta_0.0354,0.0353553390593273,ci_length,S_shrink_delta_0.0354 - continuous,5000,0.014884051859410122,0.0005218021649509246
1500,Bias-aware/Honest,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,0.011309185911999881,0.00019940263981999457
1500,Bias-aware/Honest,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,0.01819945115979507,0.0002774645079096274
1500,Bias-aware/Honest,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,0.034816680597744266,0.0003541684928745992
1500,Bias-aware/Honest,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,0.034372747375072524,0.00043366949150824916
1500,Bias-aware/Honest,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,0.06171618788721605,0.00048229593879351254
1500,Bias-aware/Honest,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,0.10971715124013451,0.0005147716890438297
1500,Bias-aware/Honest,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,4999,0.1682237131838641,0.0005377089901718268
1500,Bias-aware/Honest,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,4961,0.2390539063589088,0.0005527058179965726
1500,Bias-aware/Honest,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4733,0.32023135275837716,0.0005738566445564685
1500,Bias-aware/Honest,shrinking_delta,S_shrink_delta_0.0289,0.0288675134594812,ci_length,S_shrink_delta_0.0289 - continuous,5000,0.05239131656455413,0.0004698377907131425
1500,Conventional MSE,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,-0.0021499292071791784,0.00019449064574825602
1500,Conventional MSE,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,-0.0023212239604828502,0.0002211680008590716
1500,Conventional MSE,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,-0.0018519535437207765,0.0002502850851399397
1500,Conventional MSE,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,-0.0004458225525439783,0.00028412341636043474
1500,Conventional MSE,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,0.002104800268261669,0.0003308203783538005
1500,Conventional MSE,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,0.008837263799952401,0.0003404278495876607
1500,Conventional MSE,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,4999,-0.0010122518576107687,0.0003531278667515396
1500,Conventional MSE,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,4961,-0.01159857949828137,0.0003648489407696468
1500,Conventional MSE,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4733,-0.020426606590996817,0.00037832149489089236
1500,Conventional MSE,shrinking_delta,S_shrink_delta_0.0289,0.0288675134594812,ci_length,S_shrink_delta_0.0289 - continuous,5000,0.00033888734684559544,0.00032112705057074127
1500,RBC MSE,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,-0.00135434259107487,0.00020811232935091518
1500,RBC MSE,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,-0.0007495016979110348,0.00023610147722113688
1500,RBC MSE,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,0.0009156824484746836,0.00026733775257624143
1500,RBC MSE,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,0.00370952000244709,0.00030272167367713615
1500,RBC MSE,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,0.008258386626884254,0.00034484002380584983
1500,RBC MSE,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,0.016308579420810855,0.00035743291821484094
1500,RBC MSE,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,4999,0.012223254889181624,0.00036964568718574444
1500,RBC MSE,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,4961,0.00880833108516096,0.0003867945188426926
1500,RBC MSE,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4733,0.0016230668939823329,0.0004030806597272143
1500,RBC MSE,shrinking_delta,S_shrink_delta_0.0289,0.0288675134594812,ci_length,S_shrink_delta_0.0289 - continuous,5000,0.006478828760412326,0.0003365943887435255
2000,Bias-aware/Honest,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,0.01082472058814069,0.00016562783802596677
2000,Bias-aware/Honest,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,0.017235863156943514,0.00022894308549042418
2000,Bias-aware/Honest,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,0.03353508252099972,0.00030921267924501766
2000,Bias-aware/Honest,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,0.0340126920197363,0.00034659916485790945
2000,Bias-aware/Honest,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,0.07051747322715833,0.0003925817837330051
2000,Bias-aware/Honest,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,0.11917127729656397,0.0004167925343205189
2000,Bias-aware/Honest,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,4996,0.17980647962749646,0.00043045181902990655
2000,Bias-aware/Honest,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,4832,0.25156450427122284,0.00044455341980532346
2000,Bias-aware/Honest,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4040,0.33276122262082913,0.0004895930905064552
2000,Bias-aware/Honest,shrinking_delta,S_shrink_delta_0.0250,0.025,ci_length,S_shrink_delta_0.0250 - continuous,5000,0.0340126920197363,0.00034659916485790945
2000,Conventional MSE,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,-0.0018019806276745988,0.0001554418606064965
2000,Conventional MSE,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,F_delta_0.015 - continuous,5000,-0.00168699272311261,0.00017875682731887955
2000,Conventional MSE,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,F_delta_0.02 - continuous,5000,-0.000530484471511253,0.0002060895475705759
2000,Conventional MSE,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,F_delta_0.025 - continuous,5000,-0.0009399331334855188,0.0002301457238858756
2000,Conventional MSE,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,F_delta_0.03 - continuous,5000,0.0065328747829263845,0.00027459846189796424
2000,Conventional MSE,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,F_delta_0.035 - continuous,5000,0.005380222359733138,0.0002705346201865623
2000,Conventional MSE,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,F_delta_0.04 - continuous,4996,-0.005505565484397802,0.00028001574792098393
2000,Conventional MSE,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,F_delta_0.045 - continuous,4832,-0.014498718118747853,0.00028881065140049395
2000,Conventional MSE,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,F_delta_0.05 - continuous,4040,-0.021660809601120587,0.00031633670415816517
2000,Conventional MSE,shrinking_delta,S_shrink_delta_0.0250,0.025,ci_length,S_shrink_delta_0.0250 - continuous,5000,-0.0009399331334855188,0.0002301457238858756
2000,RBC MSE,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,F_delta_0.01 - continuous,5000,-0.0010124872760504519,0.00016553090063157363
