n,regime,scenario,delta,variable,comparison,n_pairs,mean_diff,se_diff
1000,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,Bias-aware/Honest - RBC MSE,5000,0.1753765622811011,0.0005792408551239597
1000,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,Bias-aware/Honest - RBC MSE,5000,0.1817973165178242,0.0007055948652012815
1000,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,Bias-aware/Honest - RBC MSE,5000,0.18899480753607792,0.0004491538117736105
1000,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,Bias-aware/Honest - RBC MSE,5000,0.22228289854437158,0.0003038666245488665
1000,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,Bias-aware/Honest - RBC MSE,4999,0.27580017099293036,0.00017703383164813894
1000,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,Bias-aware/Honest - RBC MSE,4993,0.347623441659858,0.00012156500934689051
1000,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,Bias-aware/Honest - RBC MSE,4966,0.43509421996414804,8.507694514625912e-05
1000,shrinking_delta,S_shrink_delta_0.0354,0.0353553390593273,ci_length,Bias-aware/Honest - RBC MSE,5000,0.22532248740826544,0.0002955186116315262
1500,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,Bias-aware/Honest - RBC MSE,5000,0.13391325052027855,0.0004625732064025243
1500,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,Bias-aware/Honest - RBC MSE,5000,0.14019867487490986,0.0004744471381562103
1500,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,Bias-aware/Honest - RBC MSE,5000,0.15515072016647335,0.0004649383092793096
1500,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,Bias-aware/Honest - RBC MSE,5000,0.15191294938982924,0.00045067661206054776
1500,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,Bias-aware/Honest - RBC MSE,5000,0.1747075232775356,0.0002578067576859088
1500,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,Bias-aware/Honest - RBC MSE,5000,0.21465829383652746,0.00015885733067558385
1500,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,Bias-aware/Honest - RBC MSE,4999,0.27725343085315735,9.60575622270013e-05
1500,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,Bias-aware/Honest - RBC MSE,4961,0.3518166508144546,7.333211020565768e-05
1500,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,Bias-aware/Honest - RBC MSE,4733,0.4415457331739155,4.851480563628767e-05
1500,shrinking_delta,S_shrink_delta_0.0289,0.0288675134594812,ci_length,Bias-aware/Honest - RBC MSE,5000,0.1671622098213456,0.0002812092342387953
2000,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,Bias-aware/Honest - RBC MSE,5000,0.11993463591615391,0.0003761476101259812
2000,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,Bias-aware/Honest - RBC MSE,5000,0.1254382408199867,0.0003574383302375206
2000,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,Bias-aware/Honest - RBC MSE,5000,0.13946619154544543,0.00042995667453599114
2000,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,Bias-aware/Honest - RBC MSE,5000,0.138547337286936,0.00028485641206791456
2000,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,Bias-aware/Honest - RBC MSE,5000,0.1669944923685958,0.000189395345229474
2000,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,Bias-aware/Honest - RBC MSE,5000,0.21379340822757917,7.555143208525966e-05
2000,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,Bias-aware/Honest - RBC MSE,4996,0.2785327862191835,8.029531033115651e-05
2000,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,Bias-aware/Honest - RBC MSE,4832,0.35527536118280434,4.471233450829245e-05
2000,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,Bias-aware/Honest - RBC MSE,4040,0.44559827654525114,4.773949636024027e-05
2000,shrinking_delta,S_shrink_delta_0.0250,0.025,ci_length,Bias-aware/Honest - RBC MSE,5000,0.138547337286936,0.00028485641206791456
3000,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,Bias-aware/Honest - RBC MSE,5000,0.1021728019256323,0.0002696614664001206
3000,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,Bias-aware/Honest - RBC MSE,5000,0.10913245520856912,0.00024604282226653153
3000,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,Bias-aware/Honest - RBC MSE,5000,0.11381815546048213,0.0003424280166043898
3000,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,Bias-aware/Honest - RBC MSE,5000,0.12668448206559635,0.00016002462507544576
3000,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,Bias-aware/Honest - RBC MSE,5000,0.15989719070341607,9.64456945313316e-05
3000,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,Bias-aware/Honest - RBC MSE,4999,0.21508294709302128,5.209302566738103e-05
3000,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,Bias-aware/Honest - RBC MSE,4924,0.2805242117767563,4.975567478830095e-05
3000,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,Bias-aware/Honest - RBC MSE,3903,0.36007840814471315,3.594193350624176e-05
3000,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,Bias-aware/Honest - RBC MSE,1689,0.44916544297242195,0.00012067908705499861
3000,shrinking_delta,S_shrink_delta_0.0204,0.0204124145231931,ci_length,Bias-aware/Honest - RBC MSE,5000,0.1132976557671859,0.00032677727417833953
4000,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,Bias-aware/Honest - RBC MSE,5000,0.09202046538642993,0.00021383746839941925
4000,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,Bias-aware/Honest - RBC MSE,5000,0.10032021604560182,0.00019282268006865272
4000,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,Bias-aware/Honest - RBC MSE,5000,0.09987398035327155,0.00023358523266863525
4000,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,Bias-aware/Honest - RBC MSE,5000,0.12026080585373015,0.0001342886232111749
4000,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,Bias-aware/Honest - RBC MSE,5000,0.15884600523113326,4.128990562853762e-05
4000,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,Bias-aware/Honest - RBC MSE,4993,0.21553488143086322,5.485391692562395e-05
4000,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,Bias-aware/Honest - RBC MSE,4652,0.282783990713107,3.021409746267621e-05
4000,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,Bias-aware/Honest - RBC MSE,2255,0.3627302886055869,6.276686422977724e-05
4000,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,Bias-aware/Honest - RBC MSE,424,0.44755881242772566,0.00039704672134279796
4000,shrinking_delta,S_shrink_delta_0.0177,0.0176776695296636,ci_length,Bias-aware/Honest - RBC MSE,5000,0.10407759012777675,0.00029486232635862926
5000,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,Bias-aware/Honest - RBC MSE,5000,0.08494728632660205,0.00019066787165172635
5000,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,Bias-aware/Honest - RBC MSE,5000,0.09443208090397912,0.00017328898619665847
5000,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,Bias-aware/Honest - RBC MSE,5000,0.09244728981859975,0.00016114043217710258
5000,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,Bias-aware/Honest - RBC MSE,5000,0.11583731812249243,0.00010874031501869125
5000,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,Bias-aware/Honest - RBC MSE,5000,0.1592611201900599,2.4272797059796278e-05
5000,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,Bias-aware/Honest - RBC MSE,4962,0.21572684247738758,4.8692096789975774e-05
5000,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,Bias-aware/Honest - RBC MSE,4014,0.28473472083432405,2.3641128719249848e-05
5000,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,Bias-aware/Honest - RBC MSE,968,0.3638908687213325,0.00013220582975502192
5000,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,Bias-aware/Honest - RBC MSE,114,0.44288892392188156,0.0006428463230574186
5000,shrinking_delta,S_shrink_delta_0.0158,0.0158113883008419,ci_length,Bias-aware/Honest - RBC MSE,5000,0.09628385837215284,0.00021079730214351857
