scenario,scenario_label,rep,u_mean,u_sd,u_skew,u_excess_kurtosis,u_q01,u_q05,u_q50,u_q95,u_q99,contam_share
N1,N1 Severe skewness,498,-0.0245870371408299,0.9597061738205012,2.498744649146004,7.215376514534011,-0.7068849749077627,-0.70200040455863,-0.4023997689972619,2.0834998326090717,3.821705344487835,
N2,N2 Extreme t3 tails,498,-0.030679638363061652,0.8951483177433418,0.2229516493805043,3.6361706029201457,-2.6637527369519116,-1.4048424861984452,-0.03405321881962784,1.3374664074539044,2.9276120738970453,
N3,N3 One-sided contamination,498,-0.049937590607510414,0.9873315916971458,3.844073328637078,21.338532715630265,-1.4029203852671368,-1.077852662402925,-0.1475264589093305,0.9214323689248265,5.7423970801954205,0.018
N0,N0 Normal,499,-0.04845314628072031,0.9261406597500179,-0.023548422695214698,0.5240444576542806,-2.2657079499279402,-1.4782257926173041,-0.06083336938349091,1.492943551601309,2.051876070876808,
N1,N1 Severe skewness,499,-0.09194412738431226,0.7825054960387526,1.9907017611599633,5.063784640983334,-0.7070527406621624,-0.7047740280861282,-0.4093410319834498,1.5855205473285499,2.27334511005571,
N2,N2 Extreme t3 tails,499,-0.00348960806587408,0.9441085370351288,0.12205418834489962,6.066958848773263,-2.3884212801433895,-1.3954485037448996,0.018825686278105172,1.2797182065816768,2.822763214390081,
N3,N3 One-sided contamination,499,-0.004178315378388934,0.9909696137198959,3.736407328038997,20.146800886109403,-1.4077153071776465,-1.093427212180988,-0.1091991771894133,0.9858118495107958,5.472808894557613,0.02
N0,N0 Normal,500,0.009499801435622256,1.032141997948042,-0.12986332039459914,-0.0659920038777222,-2.368438388150448,-1.7506317465582655,0.05681784532905103,1.7187007149523426,2.2795596529206437,
N1,N1 Severe skewness,500,-0.06497513046427084,0.8688351052021293,2.452473460100323,7.696844941985592,-0.7069686974866056,-0.7038832246484896,-0.401551208736501,1.638102923870846,3.2305540572711773,
N2,N2 Extreme t3 tails,500,0.09605981357882777,1.1402389545149123,2.848735387024041,25.833449935382678,-2.243164162728316,-1.3830368009269705,0.03676576898526343,1.776430780691326,3.200752895909115,
