n,regime,method,frontier_failure_reason,count,share_within_scenario_method
1500,fixed_delta_0.015,Bias-aware/Honest,ok,5000,1.0
1500,fixed_delta_0.015,Conventional MSE,ok,5000,1.0
1500,fixed_delta_0.015,RBC MSE,ok,5000,1.0
1500,fixed_delta_0.02,Bias-aware/Honest,ok,5000,1.0
1500,fixed_delta_0.02,Conventional MSE,ok,5000,1.0
1500,fixed_delta_0.02,RBC MSE,ok,5000,1.0
1500,fixed_delta_0.025,Bias-aware/Honest,ok,5000,1.0
1500,fixed_delta_0.025,Conventional MSE,ok,5000,1.0
1500,fixed_delta_0.025,RBC MSE,ok,5000,1.0
1500,fixed_delta_0.03,Bias-aware/Honest,ok,5000,1.0
1500,fixed_delta_0.03,Conventional MSE,ok,5000,1.0
1500,fixed_delta_0.03,RBC MSE,ok,5000,1.0
1500,fixed_delta_0.035,Bias-aware/Honest,ok,5000,1.0
1500,fixed_delta_0.035,Conventional MSE,ok,5000,1.0
1500,fixed_delta_0.035,RBC MSE,ok,5000,1.0
1500,fixed_delta_0.04,Bias-aware/Honest,ok,4999,0.9998
1500,fixed_delta_0.04,Bias-aware/Honest,nan_ci,1,0.0002
1500,fixed_delta_0.04,Conventional MSE,ok,4999,0.9998
1500,fixed_delta_0.04,Conventional MSE,insufficient_unique_h,1,0.0002
1500,fixed_delta_0.04,RBC MSE,ok,4999,0.9998
1500,fixed_delta_0.04,RBC MSE,nan_ci,1,0.0002
1500,fixed_delta_0.045,Bias-aware/Honest,ok,4961,0.9922
1500,fixed_delta_0.045,Bias-aware/Honest,raw_failure,24,0.0048
1500,fixed_delta_0.045,Bias-aware/Honest,nan_ci,15,0.003
1500,fixed_delta_0.045,Conventional MSE,ok,4961,0.9922
1500,fixed_delta_0.045,Conventional MSE,raw_failure,24,0.0048
1500,fixed_delta_0.045,Conventional MSE,nan_ci,10,0.002
1500,fixed_delta_0.045,Conventional MSE,insufficient_unique_h,5,0.001
1500,fixed_delta_0.045,RBC MSE,ok,4961,0.9922
1500,fixed_delta_0.045,RBC MSE,raw_failure,24,0.0048
1500,fixed_delta_0.045,RBC MSE,insufficient_unique_h,8,0.0016
1500,fixed_delta_0.045,RBC MSE,nan_ci,7,0.0014
1500,fixed_delta_0.05,Bias-aware/Honest,ok,4733,0.9466
1500,fixed_delta_0.05,Bias-aware/Honest,raw_failure,159,0.0318
1500,fixed_delta_0.05,Bias-aware/Honest,nan_ci,108,0.0216
1500,fixed_delta_0.05,Conventional MSE,ok,4733,0.9466
1500,fixed_delta_0.05,Conventional MSE,raw_failure,159,0.0318
1500,fixed_delta_0.05,Conventional MSE,insufficient_unique_h,55,0.011
1500,fixed_delta_0.05,Conventional MSE,nan_ci,53,0.0106
1500,fixed_delta_0.05,RBC MSE,ok,4733,0.9466
1500,fixed_delta_0.05,RBC MSE,raw_failure,159,0.0318
1500,fixed_delta_0.05,RBC MSE,nan_ci,60,0.012
1500,fixed_delta_0.05,RBC MSE,insufficient_unique_h,48,0.0096
1500,shrinking_delta,Bias-aware/Honest,ok,5000,1.0
1500,shrinking_delta,Conventional MSE,ok,5000,1.0
1500,shrinking_delta,RBC MSE,ok,5000,1.0
2000,continuous,Bias-aware/Honest,ok,5000,1.0
2000,continuous,Conventional MSE,ok,5000,1.0
2000,continuous,RBC MSE,ok,5000,1.0
2000,fixed_delta_0.01,Bias-aware/Honest,ok,5000,1.0
2000,fixed_delta_0.01,Conventional MSE,ok,5000,1.0
2000,fixed_delta_0.01,RBC MSE,ok,5000,1.0
2000,fixed_delta_0.015,Bias-aware/Honest,ok,5000,1.0
2000,fixed_delta_0.015,Conventional MSE,ok,5000,1.0
2000,fixed_delta_0.015,RBC MSE,ok,5000,1.0
2000,fixed_delta_0.02,Bias-aware/Honest,ok,5000,1.0
2000,fixed_delta_0.02,Conventional MSE,ok,5000,1.0
2000,fixed_delta_0.02,RBC MSE,ok,5000,1.0
2000,fixed_delta_0.025,Bias-aware/Honest,ok,5000,1.0
2000,fixed_delta_0.025,Conventional MSE,ok,5000,1.0
2000,fixed_delta_0.025,RBC MSE,ok,5000,1.0
2000,fixed_delta_0.03,Bias-aware/Honest,ok,5000,1.0
2000,fixed_delta_0.03,Conventional MSE,ok,5000,1.0
2000,fixed_delta_0.03,RBC MSE,ok,5000,1.0
2000,fixed_delta_0.035,Bias-aware/Honest,ok,5000,1.0
2000,fixed_delta_0.035,Conventional MSE,ok,5000,1.0
2000,fixed_delta_0.035,RBC MSE,ok,5000,1.0
2000,fixed_delta_0.04,Bias-aware/Honest,ok,4996,0.9992
2000,fixed_delta_0.04,Bias-aware/Honest,nan_ci,2,0.0004
2000,fixed_delta_0.04,Bias-aware/Honest,raw_failure,2,0.0004
2000,fixed_delta_0.04,Conventional MSE,ok,4996,0.9992
2000,fixed_delta_0.04,Conventional MSE,raw_failure,2,0.0004
2000,fixed_delta_0.04,Conventional MSE,insufficient_unique_h,1,0.0002
2000,fixed_delta_0.04,Conventional MSE,nan_ci,1,0.0002
