n,support_bin,method,n_rows,n_success,n_minimal_usable,n_frontier_display_ok,success_rate,minimal_usability_rate,coverage,coverage_conditional_on_raw_success,coverage_conditional_on_minimal_usable,coverage_conditional_on_frontier_display_ok,mc_se_coverage,coverage_unconditional,avg_ci_length,median_ci_length,p95_ci_length,p99_ci_length,pathological_length_rate,formal_support_ok_rate,coverage_display_ok_rate,avg_local_support_score,avg_min_unique_h,avg_min_unique_b,avg_obs_h_left,avg_obs_h_right,avg_obs_b_left,avg_obs_b_right
750,5-7,Bias-aware/Honest,8377,8377,8377,8371,1.0,1.0,0.9968962635788469,0.9968962635788469,0.9968962635788469,0.9970134989845897,0.000607747446315639,0.9968962635788469,0.46150798090952255,0.4529734633704434,0.6009745931699381,0.7007140614735106,0.0,1.0,0.9992837531335801,5.754327324817954,5.754327324817954,12.851140026262385,49.177390473916674,40.35406470096693,120.8316819863913,78.61262981974454
750,8-12,Bias-aware/Honest,4869,4869,4869,4868,1.0,1.0,0.9969192852741836,0.9969192852741836,0.9969192852741836,0.9969186524239935,0.0007942109192826359,0.9969192852741836,0.4500784774204635,0.4410880706737252,0.5890030255626779,0.6862355685264728,0.0,1.0,0.9997946190182789,9.211953173136168,9.211953173136168,20.384062435818443,48.611419182583695,39.99691928527418,120.15937564181557,78.49024440336825
750,13+,Bias-aware/Honest,5005,5005,5005,4997,1.0,1.0,0.9956043956043956,0.9956043956043956,0.9956043956043956,0.9957974784870922,0.0009350840760546902,0.9956043956043956,0.4321462870060526,0.4243153272928275,0.5728726374114291,0.6769271079528003,0.0,1.0,0.9984015984015984,37.137662337662334,37.137662337662334,76.44855144855144,46.03176823176823,38.234965034965036,116.14705294705294,76.52967032967032
750,missing,Bias-aware/Honest,6,0,0,0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,
750,0-2,Conventional MSE,14753,14749,14748,0,0.9997288687046703,0.9996610858808378,0.7873076140755305,0.7873076140755305,0.7872931922972607,,0.0033695112405236643,0.7870941503423032,117.16871579911297,0.2487384500245415,0.31991539662944435,0.3667616570498233,6.778282383244086e-05,0.9996610858808378,0.0,1.9996610858808377,1.9996610858808377,4.814410628346777,45.34691249237443,37.65925574459432,120.3372195485664,78.25689690232495
750,3-4,Conventional MSE,16990,16990,16990,0,1.0,1.0,0.7763390229546793,0.7763390229546793,0.7763390229546793,,0.0031968637551341964,0.7763390229546793,0.24856720921360706,0.24183327832256246,0.3284454473209381,0.3850352746633754,0.0,1.0,0.0,3.3539729252501473,3.3539729252501473,7.463272513243084,49.940788699234844,40.85962330782814,120.98610947616245,78.70847557386698
750,5-7,Conventional MSE,8377,8377,8377,8371,1.0,1.0,0.8090008356213442,0.8090008356213442,0.8090008356213442,0.8091028550949707,0.004294829831164112,0.8090008356213442,0.25116682119844363,0.2397819998537373,0.35979861014419584,0.4787675602048151,0.0,1.0,0.9992837531335801,5.754327324817954,5.754327324817954,12.851140026262385,49.177390473916674,40.35406470096693,120.8316819863913,78.61262981974454
750,8-12,Conventional MSE,4869,4869,4869,4868,1.0,1.0,0.8324091189155884,0.8324091189155884,0.8324091189155884,0.8323746918652424,0.005352710057752655,0.8324091189155884,0.25596355760950307,0.2461906702101695,0.36481084009583703,0.45620249930372214,0.0,1.0,0.9997946190182789,9.211953173136168,9.211953173136168,20.384062435818443,48.611419182583695,39.99691928527418,120.15937564181557,78.49024440336825
750,13+,Conventional MSE,5005,5005,5005,4997,1.0,1.0,0.8593406593406593,0.8593406593406593,0.8593406593406593,0.8595157094256554,0.004914336923891415,0.8593406593406593,0.25542818804787193,0.2460576788614092,0.36279849155742117,0.4447169470290167,0.0,1.0,0.9984015984015984,37.137662337662334,37.137662337662334,76.44855144855144,46.03176823176823,38.234965034965036,116.14705294705294,76.52967032967032
750,missing,Conventional MSE,6,0,0,0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,
