n,regime,scenario,delta,n_with_diagnostics,rbc_min_support_rate,rbc_support_adequate_rate,h_left_mean,h_left_median,h_left_min,h_left_max,h_right_mean,h_right_median,h_right_min,h_right_max,b_left_mean,b_left_median,b_left_min,b_left_max,b_right_mean,b_right_median,b_right_min,b_right_max,unique_h_left_mean,unique_h_left_median,unique_h_left_min,unique_h_left_max,unique_h_right_mean,unique_h_right_median,unique_h_right_min,unique_h_right_max,unique_b_left_mean,unique_b_left_median,unique_b_left_min,unique_b_left_max,unique_b_right_mean,unique_b_right_median,unique_b_right_min,unique_b_right_max,obs_h_left_mean,obs_h_left_median,obs_h_left_min,obs_h_left_max,obs_h_right_mean,obs_h_right_median,obs_h_right_min,obs_h_right_max,obs_b_left_mean,obs_b_left_median,obs_b_left_min,obs_b_left_max,obs_b_right_mean,obs_b_right_median,obs_b_right_min,obs_b_right_max,min_unique_h_mean,min_unique_h_median,min_unique_h_min,min_unique_h_max,min_unique_b_mean,min_unique_b_median,min_unique_b_min,min_unique_b_max,h_over_delta_left_mean,h_over_delta_left_median,h_over_delta_left_min,h_over_delta_left_max,h_over_delta_right_mean,h_over_delta_right_median,h_over_delta_right_min,h_over_delta_right_max,b_over_delta_left_mean,b_over_delta_left_median,b_over_delta_left_min,b_over_delta_left_max,b_over_delta_right_mean,b_over_delta_right_median,b_over_delta_right_min,b_over_delta_right_max,nearest_support_distance_mean,nearest_support_distance_median,nearest_support_distance_min,nearest_support_distance_max,M_left_rdrobust_mean,M_left_rdrobust_median,M_left_rdrobust_min,M_left_rdrobust_max,M_right_rdrobust_mean,M_right_rdrobust_median,M_right_rdrobust_min,M_right_rdrobust_max
2000,fixed_delta_0.03,F_delta_0.03,0.03,5000,1.0,0.5838,0.07638927322140664,0.07622822092822484,0.0573978187345124,0.0984326081777497,0.07638927322140664,0.07622822092822484,0.0573978187345124,0.0984326081777497,0.18354989708321004,0.1830038849109567,0.1456741065683066,0.2285180825787071,0.18354989708321004,0.1830038849109567,0.1456741065683066,0.2285180825787071,2.5838,3.0,2.0,3.0,2.5838,3.0,2.0,3.0,6.1226,6.0,5.0,8.0,6.1226,6.0,5.0,8.0,104.522,111.0,51.0,156.0,88.816,92.0,43.0,139.0,271.1728,267.0,170.0,384.0,187.5396,187.0,131.0,253.0,2.5838,3.0,2.0,3.0,6.1226,6.0,5.0,8.0,2.5463091073802233,2.540940697607496,1.913260624483749,3.281086939258326,2.5463091073802233,2.540940697607496,1.913260624483749,3.281086939258326,6.118329902773669,6.100129497031892,4.855803552276887,7.617269419290239,6.118329902773669,6.100129497031892,4.855803552276887,7.617269419290239,0.015,0.015,0.015,0.015,33.3824,33.0,32.0,34.0,25.9202,26.0,22.0,30.0
3000,fixed_delta_0.03,F_delta_0.03,0.03,5000,1.0,0.1664,0.06998788323947218,0.07002265194202345,0.0529898565696999,0.0919598642702219,0.06998788323947218,0.07002265194202345,0.0529898565696999,0.0919598642702219,0.17257022134216318,0.17213416533307246,0.1380627831195426,0.2174639078367439,0.17257022134216318,0.17213416533307246,0.1380627831195426,0.2174639078367439,2.1664,2.0,2.0,3.0,2.1664,2.0,2.0,3.0,5.783,6.0,5.0,7.0,5.783,6.0,5.0,7.0,129.8566,122.0,84.0,224.0,113.3604,108.0,68.0,191.0,381.0628,390.0,263.0,518.0,268.9118,271.0,193.0,365.0,2.1664,2.0,2.0,3.0,5.783,6.0,5.0,7.0,2.3329294413157413,2.3340883980674505,1.7663285523233316,3.0653288090073967,2.3329294413157413,2.3340883980674505,1.7663285523233316,3.0653288090073967,5.7523407114054415,5.737805511102417,4.602092770651423,7.2487969278914655,5.7523407114054415,5.737805511102417,4.602092770651423,7.2487969278914655,0.015,0.015,0.015,0.015,33.529,34.0,33.0,34.0,26.8974,27.0,23.0,31.0
4000,fixed_delta_0.03,F_delta_0.03,0.03,5000,1.0,0.0264,0.06576322072350992,0.06574740329381029,0.0489569055912334,0.0833101386156886,0.06576322072350992,0.06574740329381029,0.0489569055912334,0.0833101386156886,0.16519326282555344,0.16458781949114745,0.1358419708289494,0.2060758332213544,0.16519326282555344,0.16458781949114745,0.1358419708289494,0.2060758332213544,2.0264,2.0,2.0,3.0,2.0264,2.0,2.0,3.0,5.4882,5.0,5.0,7.0,5.4882,5.0,5.0,7.0,161.0946,159.0,118.0,279.0,142.2406,141.0,99.0,229.0,478.6472,467.0,364.0,672.0,343.515,342.0,263.0,434.0,2.0264,2.0,2.0,3.0,5.4882,5.0,5.0,7.0,2.1921073574503325,2.1915801097936782,1.6318968530411155,2.777004620522956,2.1921073574503325,2.1915801097936782,1.6318968530411155,2.777004620522956,5.506442094185116,5.486260649704915,4.528065694298316,6.869194440711813,5.506442094185116,5.486260649704915,4.528065694298316,6.869194440711813,0.015,0.015,0.015,0.015,33.637,34.0,33.0,34.0,27.517,28.0,24.0,31.0
5000,fixed_delta_0.03,F_delta_0.03,0.03,5000,1.0,0.0024,0.06273303101473586,0.0624389370472069,0.0474132927860964,0.078094206821597,0.06273303101473586,0.0624389370472069,0.0474132927860964,0.078094206821597,0.159680419021053,0.1592148879833366,0.1341273779550073,0.1993424272192661,0.159680419021053,0.1592148879833366,0.1341273779550073,0.1993424272192661,2.0024,2.0,2.0,3.0,2.0024,2.0,2.0,3.0,5.2488,5.0,4.0,7.0,5.2488,5.0,4.0,7.0,198.832,199.0,149.0,338.0,176.165,176.0,134.0,272.0,568.6968,547.0,416.0,801.0,414.47,407.0,314.0,539.0,2.0024,2.0,2.0,3.0,5.2488,5.0,4.0,7.0,2.0911010338245304,2.0812979015735644,1.580443092869881,2.6031402273865685,2.0911010338245304,2.0812979015735644,1.580443092869881,2.6031402273865685,5.322680634035103,5.307162932777888,4.470912598500243,6.64474757397554,5.322680634035103,5.307162932777888,4.470912598500243,6.64474757397554,0.015,0.015,0.015,0.015,33.716,34.0,33.0,34.0,27.966,28.0,25.0,32.0
500,fixed_delta_0.035,F_delta_0.035,0.035,5000,1.0,0.8994,0.10292193123670547,0.10271318060041645,0.0656366067682468,0.1470270424284048,0.10292193123670547,0.10271318060041645,0.0656366067682468,0.1470270424284048,0.22644159485735763,0.2259395160748659,0.1492684075498979,0.3359314750265041,0.22644159485735763,0.2259395160748659,0.1492684075498979,0.3359314750265041,2.9544,3.0,2.0,4.0,2.9544,3.0,2.0,4.0,6.4618,6.0,4.0,10.0,6.4574,6.0,4.0,10.0,35.6714,36.0,11.0,67.0,28.7948,29.0,9.0,54.0,86.2614,86.0,42.0,141.0,54.7164,54.0,26.0,82.0,2.9544,3.0,2.0,4.0,6.4574,6.0,4.0,10.0,2.9406266067630145,2.934662302869043,1.8753316219499097,4.200772640811566,2.9406266067630145,2.934662302869043,1.8753316219499097,4.200772640811566,6.469759853067362,6.455414744996168,4.264811644282798,9.598042143614403,6.469759853067362,6.455414744996168,4.264811644282798,9.598042143614403,0.0175,0.0175,0.0175,0.0175,28.3358,28.0,27.0,29.0,18.727,19.0,13.0,25.0
750,fixed_delta_0.035,F_delta_0.035,0.035,5000,1.0,0.7476,0.09408478266122558,0.0938703297491337,0.0601432361274719,0.1310684316164758,0.09408478266122558,0.0938703297491337,0.0601432361274719,0.1310684316164758,0.21235726669070923,0.21230802729643278,0.1443570171997681,0.271611353910341,0.21235726669070923,0.21230802729643278,0.1443570171997681,0.271611353910341,2.7516,3.0,2.0,4.0,2.7516,3.0,2.0,4.0,6.0686,6.0,4.0,8.0,6.0684,6.0,4.0,8.0,49.4828,51.0,17.0,85.0,40.4798,41.0,16.0,76.0,120.338,120.0,66.0,190.0,78.361,78.0,43.0,118.0,2.7516,3.0,2.0,4.0,6.0684,6.0,4.0,8.0,2.688136647463589,2.6820094214038215,1.7183781750706282,3.744812331899308,2.688136647463589,2.6820094214038215,1.7183781750706282,3.744812331899308,6.067350476877406,6.065943637040938,4.12448620570766,7.760324397438314,6.067350476877406,6.065943637040938,4.12448620570766,7.760324397438314,0.0175,0.0175,0.0175,0.0175,28.5018,29.0,27.0,29.0,20.0538,20.0,15.0,25.0
1000,fixed_delta_0.035,F_delta_0.035,0.035,5000,1.0,0.5426,0.0885386116127356,0.08830484895915525,0.0600996311284118,0.1222390187500377,0.0885386116127356,0.08830484895915525,0.0600996311284118,0.1222390187500377,0.20340204347084354,0.20319926252340645,0.1455828871018448,0.2589601050316428,0.20340204347084354,0.20319926252340645,0.1455828871018448,0.2589601050316428,2.5426,3.0,2.0,3.0,2.5426,3.0,2.0,3.0,5.8074,6.0,4.0,7.0,5.8074,6.0,4.0,7.0,60.6116,62.0,24.0,108.0,50.134,50.0,22.0,89.0,152.4346,154.0,86.0,235.0,101.1198,101.0,62.0,142.0,2.5426,3.0,2.0,3.0,5.8074,6.0,4.0,7.0,2.5296746175067324,2.5229956845472925,1.717132317954624,3.492543392858222,2.5296746175067324,2.5229956845472925,1.717132317954624,3.492543392858222,5.811486956309816,5.805693214954471,4.159511060052708,7.398860143761222,5.811486956309816,5.805693214954471,4.159511060052708,7.398860143761222,0.0175,0.0175,0.0175,0.0175,28.6154,29.0,27.0,29.0,20.8694,21.0,15.0,25.0
1500,fixed_delta_0.035,F_delta_0.035,0.035,5000,1.0,0.1802,0.08111511748059876,0.0808634605076554,0.0555068891074902,0.1115577708115987,0.08111511748059876,0.0808634605076554,0.0555068891074902,0.1115577708115987,0.1912589672478227,0.19071011914081976,0.1472689716076213,0.247161256841271,0.1912589672478227,0.19071011914081976,0.1472689716076213,0.247161256841271,2.1802,2.0,2.0,3.0,2.1802,2.0,2.0,3.0,5.4512,5.0,4.0,7.0,5.4512,5.0,4.0,7.0,77.065,73.0,43.0,137.0,65.5372,62.0,35.0,123.0,212.5112,209.0,114.0,310.0,144.6228,144.0,97.0,213.0,2.1802,2.0,2.0,3.0,5.4512,5.0,4.0,7.0,2.3175747851599655,2.3103845859330123,1.5859111173568652,3.1873648803313936,2.3175747851599655,2.3103845859330123,1.5859111173568652,3.1873648803313936,5.464541921366364,5.448860546880565,4.207684903074896,7.061750195464886,5.464541921366364,5.448860546880565,4.207684903074896,7.061750195464886,0.0175,0.0175,0.0175,0.0175,28.7704,29.0,28.0,29.0,21.9098,22.0,18.0,26.0
2000,fixed_delta_0.035,F_delta_0.035,0.035,5000,1.0,0.0426,0.07636671738103123,0.0760675057722138,0.0550904926861852,0.1002994006192974,0.07636671738103123,0.0760675057722138,0.0550904926861852,0.1002994006192974,0.18306252225322472,0.1824454250119013,0.1429839799694308,0.2351316857787792,0.18306252225322472,0.1824454250119013,0.1429839799694308,0.2351316857787792,2.0426,2.0,2.0,3.0,2.0426,2.0,2.0,3.0,5.2052,5.0,4.0,7.0,5.2052,5.0,4.0,7.0,95.7212,94.0,59.0,179.0,82.6744,81.0,48.0,143.0,268.5828,261.0,161.0,395.0,186.3316,184.0,131.0,258.0,2.0426,2.0,2.0,3.0,5.2052,5.0,4.0,7.0,2.181906210886608,2.1733573077775388,1.5740140767481487,2.8656971605513557,2.181906210886608,2.1733573077775388,1.5740140767481487,2.8656971605513557,5.230357778663564,5.212726428911465,4.085256570555167,6.718048165107978,5.230357778663564,5.212726428911465,4.085256570555167,6.718048165107978,0.0175,0.0175,0.0175,0.0175,28.86,29.0,28.0,29.0,22.5456,23.0,19.0,26.0
3000,fixed_delta_0.035,F_delta_0.035,0.035,4999,1.0,0.000600120024004801,0.0700538680902477,0.0700442533036902,0.0526673053906061,0.090042095091105,0.0700538680902477,0.0700442533036902,0.0526673053906061,0.090042095091105,0.1719203376734807,0.1714448400388799,0.1359762936835516,0.2192548962453745,0.1719203376734807,0.1714448400388799,0.1359762936835516,0.2192548962453745,2.000600120024005,2.0,2.0,3.0,2.000600120024005,2.0,2.0,3.0,4.957191438287658,5.0,4.0,6.0,4.957191438287658,5.0,4.0,6.0,140.3258651730346,140.0,100.0,247.0,121.80536107221444,122.0,81.0,180.0,380.80576115223045,383.0,251.0,523.0,269.02860572114423,270.0,186.0,365.0,2.000600120024005,2.0,2.0,3.0,4.957191438287658,5.0,4.0,6.0,2.0015390882927924,2.0012643801054355,1.5047801540173171,2.572631288317288,2.0015390882927924,2.0012643801054355,1.5047801540173171,2.572631288317288,4.9120096478137345,4.898424001110855,3.88503696238719,6.2644256070107005,4.9120096478137345,4.898424001110855,3.88503696238719,6.2644256070107005,0.0175,0.0175,0.0175,0.0175,28.949389877975594,29.0,28.0,29.0,23.339867973594718,23.0,20.0,27.0
4000,fixed_delta_0.035,F_delta_0.035,0.035,4996,0.9993995196156925,0.0,0.06578343396008542,0.06591054081810455,0.0495532033336192,0.0818680947209299,0.06578343396008542,0.06591054081810455,0.0495532033336192,0.0818680947209299,0.16450772386841406,0.16399756120849815,0.1329128369592,0.20224030041598,0.16450772386841406,0.16399756120849815,0.1329128369592,0.20224030041598,1.9993995196156926,2.0,1.0,2.0,1.9993995196156926,2.0,1.0,2.0,4.763210568454764,5.0,4.0,6.0,4.763210568454764,5.0,4.0,6.0,186.95596477181746,187.0,90.0,235.0,162.33426741393114,163.0,70.0,208.0,485.314451561249,503.0,338.0,684.0,346.89991993594873,354.0,245.0,463.0,1.9993995196156926,2.0,1.0,2.0,4.763210568454764,5.0,4.0,6.0,1.8795266845738698,1.8831583090887025,1.4158058095319783,2.339088420598,1.8795266845738698,1.8831583090887025,1.4158058095319783,2.339088420598,4.700220681954687,4.685644605957091,3.797509627405716,5.77829429759943,4.700220681954687,4.685644605957091,3.797509627405716,5.77829429759943,0.0175,0.0175,0.0175,0.0175,28.982786228983187,29.0,28.0,29.0,23.839871897518016,24.0,20.0,27.0
5000,fixed_delta_0.035,F_delta_0.035,0.035,4978,0.9967858577742065,0.0,0.06264736661031944,0.06255532355540025,0.0497840354076992,0.0778511096356366,0.06264736661031944,0.06255532355540025,0.0497840354076992,0.0778511096356366,0.15905283333010303,0.15850316459868485,0.1316120623602327,0.1951949416822378,0.15905283333010303,0.15850316459868485,0.1316120623602327,0.1951949416822378,1.9967858577742066,2.0,1.0,2.0,1.9967858577742066,2.0,1.0,2.0,4.543591803937324,5.0,4.0,6.0,4.543591803937324,5.0,4.0,6.0,233.5030132583367,234.0,91.0,287.0,202.88629971876256,203.0,82.0,250.0,575.5086380072319,608.0,429.0,789.0,417.3258336681398,423.0,320.0,542.0,1.9967858577742066,2.0,1.0,2.0,4.543591803937324,5.0,4.0,6.0,1.7899247602948423,1.787294958725722,1.4224010116485508,2.224317418161045,1.7899247602948423,1.787294958725722,1.4224010116485508,2.224317418161045,4.544366666574373,4.5286618456767105,3.760344638863792,5.576998333778223,4.544366666574373,4.5286618456767105,3.760344638863792,5.576998333778223,0.0175,0.0175,0.0175,0.0175,28.993169947770188,29.0,28.0,29.0,24.205905986339896,24.0,21.0,27.0
500,fixed_delta_0.04,F_delta_0.04,0.04,5000,1.0,0.5864,0.10303757819977864,0.10279908422982285,0.0669118838922208,0.1553062168686956,0.10303757819977864,0.10279908422982285,0.0669118838922208,0.1553062168686956,0.22636350782461906,0.22616385280655227,0.1568774110873254,0.335912938724052,0.22636350782461906,0.22616385280655227,0.1568774110873254,0.335912938724052,2.5892,3.0,2.0,4.0,2.5892,3.0,2.0,4.0,5.6602,6.0,4.0,8.0,5.6586,6.0,4.0,8.0,35.814,36.0,12.0,70.0,28.7218,29.0,9.0,51.0,86.3506,86.0,43.0,136.0,54.7648,55.0,25.0,89.0,2.5892,3.0,2.0,4.0,5.6586,6.0,4.0,8.0,2.575939454994467,2.569977105745571,1.6727970973055215,3.88265542171739,2.575939454994467,2.569977105745571,1.6727970973055215,3.88265542171739,5.659087695615477,5.6540963201638075,3.921935277183135,8.397823468101299,5.659087695615477,5.6540963201638075,3.921935277183135,8.397823468101299,0.02,0.02,0.02,0.02,24.8474,25.0,23.0,25.0,16.7892,17.0,12.0,21.0
750,fixed_delta_0.04,F_delta_0.04,0.04,5000,1.0,0.2764,0.09443771459330413,0.0941363971265297,0.0621677051315042,0.1335244643893305,0.09443771459330413,0.0941363971265297,0.0621677051315042,0.1335244643893305,0.2129320805627596,0.212505369434559,0.1490997275289799,0.2786150774665878,0.2129320805627596,0.212505369434559,0.1490997275289799,0.2786150774665878,2.2764,2.0,2.0,3.0,2.2764,2.0,2.0,3.0,5.3338,5.0,4.0,7.0,5.3338,5.0,4.0,7.0,46.5928,43.0,21.0,87.0,38.352,37.0,16.0,74.0,120.9052,118.0,61.0,185.0,78.6112,78.0,45.0,118.0,2.2764,2.0,2.0,3.0,5.3338,5.0,4.0,7.0,2.3609428648326043,2.3534099281632437,1.554192628287605,3.3381116097332635,2.3609428648326043,2.3534099281632437,1.554192628287605,3.3381116097332635,5.323302014068991,5.3126342358639755,3.727493188224499,6.965376936664697,5.323302014068991,5.3126342358639755,3.727493188224499,6.965376936664697,0.02,0.02,0.02,0.02,24.9414,25.0,24.0,25.0,17.892,18.0,13.0,22.0
1000,fixed_delta_0.04,F_delta_0.04,0.04,5000,0.9998,0.1046,0.08895451407049483,0.08869331547075734,0.0586912549262311,0.1211284615070739,0.08895451407049483,0.08869331547075734,0.0586912549262311,0.1211284615070739,0.2041881464396788,0.20395731129431435,0.1498584936460625,0.2587410205048443,0.2041881464396788,0.20395731129431435,0.1498584936460625,0.2587410205048443,2.1044,2.0,1.0,3.0,2.1044,2.0,1.0,3.0,5.1082,5.0,4.0,6.0,5.1082,5.0,4.0,6.0,57.0074,55.0,23.0,112.0,47.7772,46.0,24.0,89.0,153.3206,151.0,83.0,230.0,101.5648,101.0,64.0,146.0,2.1044,2.0,1.0,3.0,5.1082,5.0,4.0,6.0,2.2238628517623713,2.217332886768935,1.4672813731557777,3.028211537676848,2.2238628517623713,2.217332886768935,1.4672813731557777,3.028211537676848,5.104703660991971,5.09893278235786,3.7464623411515614,6.468525512621108,5.104703660991971,5.09893278235786,3.7464623411515614,6.468525512621108,0.02,0.02,0.02,0.02,24.9746,25.0,24.0,25.0,18.5712,19.0,14.0,23.0
1500,fixed_delta_0.04,F_delta_0.04,0.04,5000,0.9998,0.0084,0.08154552720781306,0.08152029547547905,0.0590442815826973,0.1084884854812609,0.08154552720781306,0.08152029547547905,0.0590442815826973,0.1084884854812609,0.19231076790092563,0.1917620056212782,0.1548357854835753,0.2478770571510397,0.19231076790092563,0.1917620056212782,0.1548357854835753,0.2478770571510397,2.0082,2.0,1.0,3.0,2.0082,2.0,1.0,3.0,4.8328,5.0,4.0,6.0,4.8328,5.0,4.0,6.0,81.2878,81.0,34.0,147.0,68.998,69.0,32.0,124.0,215.6948,220.0,132.0,311.0,146.1846,147.0,96.0,212.0,2.0082,2.0,1.0,3.0,4.8328,5.0,4.0,6.0,2.0386381801953277,2.038007386886977,1.4761070395674332,2.712212137031523,2.0386381801953277,2.038007386886977,1.4761070395674332,2.712212137031523,4.807769197523141,4.794050140531956,3.870894637089383,6.196926428775993,4.807769197523141,4.794050140531956,3.870894637089383,6.196926428775993,0.02,0.02,0.02,0.02,24.997,25.0,24.0,25.0,19.4364,19.0,16.0,23.0
2000,fixed_delta_0.04,F_delta_0.04,0.04,4998,0.9995998399359743,0.00020008003201280514,0.07661074509101423,0.07659060052200105,0.0580455241928595,0.1039091230397449,0.07661074509101423,0.07659060052200105,0.0580455241928595,0.1039091230397449,0.1842876255221556,0.1836810744907692,0.1496979171359393,0.2313884265606691,0.1842876255221556,0.1836810744907692,0.1496979171359393,0.2313884265606691,1.9997999199679872,2.0,1.0,3.0,1.9997999199679872,2.0,1.0,3.0,4.619647859143657,5.0,4.0,6.0,4.619647859143657,5.0,4.0,6.0,107.88715486194478,108.0,50.0,173.0,91.82232893157263,92.0,49.0,129.0,273.23049219687874,285.0,183.0,395.0,188.24329731892757,190.0,128.0,257.0,1.9997999199679872,2.0,1.0,3.0,4.619647859143657,5.0,4.0,6.0,1.915268627275357,1.9147650130500276,1.4511381048214884,2.5977280759936248,1.915268627275357,1.9147650130500276,1.4511381048214884,2.5977280759936248,4.607190638053891,4.592026862269231,3.742447928398484,5.784710664016729,4.607190638053891,4.592026862269231,3.742447928398484,5.784710664016729,0.02,0.02,0.02,0.02,24.999599839935975,25.0,24.0,25.0,19.98499399759904,20.0,17.0,24.0
3000,fixed_delta_0.04,F_delta_0.04,0.04,4949,0.9949484744392807,0.0,0.07031012744588504,0.0698279942492116,0.0555419178292904,0.0987049980810007,0.07031012744588504,0.0698279942492116,0.0555419178292904,0.0987049980810007,0.1734500739705935,0.1728734610970807,0.1460778322721931,0.2228539787219316,0.1734500739705935,0.1728734610970807,0.1460778322721931,0.2228539787219316,1.9949484744392807,2.0,1.0,2.0,1.9949484744392807,2.0,1.0,2.0,4.244291776116387,4.0,4.0,6.0,4.244291776116387,4.0,4.0,6.0,161.29925237421702,162.0,61.0,205.0,137.35865831481107,138.0,48.0,184.0,371.86906445746615,354.0,282.0,538.0,264.11618508789655,258.0,202.0,360.0,1.9949484744392807,2.0,1.0,2.0,4.244291776116387,4.0,4.0,6.0,1.757753186147127,1.7456998562302906,1.388547945732262,2.4676249520250177,1.757753186147127,1.7456998562302906,1.388547945732262,2.4676249520250177,4.336251849264838,4.321836527427018,3.651945806804829,5.5713494680482905,4.336251849264838,4.321836527427018,3.651945806804829,5.5713494680482905,0.019999999999999997,0.02,0.02,0.02,25.0,25.0,25.0,25.0,20.648009698929076,21.0,17.0,24.0
4000,fixed_delta_0.04,F_delta_0.04,0.04,4805,0.9681581685744016,0.0,0.06660380088942146,0.0661182058555064,0.0505865018881087,0.0873010398641418,0.06660380088942146,0.0661182058555064,0.0505865018881087,0.0873010398641418,0.16662005506252667,0.1658651194613581,0.141279459984656,0.2055101182688548,0.16662005506252667,0.1658651194613581,0.141279459984656,0.2055101182688548,1.9681581685744016,2.0,1.0,2.0,1.9681581685744016,2.0,1.0,2.0,4.077211238293445,4.0,4.0,5.0,4.077211238293445,4.0,4.0,5.0,212.0168574401665,215.0,80.0,266.0,180.75858480749218,183.0,72.0,235.0,473.10072840790843,465.0,388.0,668.0,341.2476586888658,338.0,277.0,453.0,1.9681581685744016,2.0,1.0,2.0,4.077211238293445,4.0,4.0,5.0,1.6650950222355376,1.652955146387661,1.2646625472027198,2.182525996603546,1.6650950222355376,1.652955146387661,1.2646625472027198,2.182525996603546,4.165501376563168,4.146627986533955,3.5319864996164005,5.13775295672137,4.165501376563168,4.146627986533955,3.5319864996164005,5.13775295672137,0.02,0.02,0.02,0.02,25.0,25.0,25.0,25.0,21.0684703433923,21.0,18.0,24.0
5000,fixed_delta_0.04,F_delta_0.04,0.04,4414,0.9093792478477571,0.0,0.06414762164742603,0.06371639524407215,0.0514566649479729,0.0825983852244678,0.06414762164742603,0.06371639524407215,0.0514566649479729,0.0825983852244678,0.16208445362351961,0.1613540789498969,0.1405527778782181,0.1982045631940525,0.16208445362351961,0.1613540789498969,0.1405527778782181,0.1982045631940525,1.9093792478477571,2.0,1.0,2.0,1.9093792478477571,2.0,1.0,2.0,4.015178975985501,4.0,4.0,5.0,4.015178975985501,4.0,4.0,5.0,256.9884458541006,268.0,98.0,326.0,219.6264159492524,228.0,90.0,280.0,581.4463072043498,580.0,499.0,800.0,421.5407793384685,421.0,352.0,545.0,1.9093792478477571,2.0,1.0,2.0,4.015178975985501,4.0,4.0,5.0,1.603690541185652,1.5929098811018045,1.286416623699323,2.064959630611696,1.603690541185652,1.5929098811018045,1.286416623699323,2.064959630611696,4.052111340587992,4.033851973747423,3.513819446955454,4.955114079851314,4.052111340587992,4.033851973747423,3.513819446955454,4.955114079851314,0.02,0.02,0.02,0.02,25.0,25.0,25.0,25.0,21.3726778432261,21.0,19.0,24.0
500,fixed_delta_0.045,F_delta_0.045,0.045,5000,1.0,0.219,0.10349575282578967,0.1034075530136031,0.069769523194361,0.1501651399269709,0.10349575282578967,0.1034075530136031,0.069769523194361,0.1501651399269709,0.22836138364997277,0.22741254993301235,0.1682857256347287,0.3453715346575703,0.22836138364997277,0.22741254993301235,0.1682857256347287,0.3453715346575703,2.2192,2.0,2.0,3.0,2.2192,2.0,2.0,3.0,5.0756,5.0,4.0,8.0,5.0754,5.0,4.0,8.0,34.377,32.0,14.0,71.0,27.7888,27.0,10.0,54.0,87.2502,86.0,43.0,147.0,55.0644,55.0,27.0,86.0,2.2192,2.0,2.0,3.0,5.0754,5.0,4.0,8.0,2.299905618350883,2.297945622524513,1.550433848763578,3.3370031094882435,2.299905618350883,2.297945622524513,1.550433848763578,3.3370031094882435,5.07469741444384,5.053612220733609,3.739682791882861,7.674922992390453,5.07469741444384,5.053612220733609,3.739682791882861,7.674922992390453,0.022499999999999996,0.0225,0.0225,0.0225,22.0802,22.0,21.0,23.0,15.2278,15.0,11.0,20.0
750,fixed_delta_0.045,F_delta_0.045,0.045,5000,0.9996,0.0424,0.09475136056015462,0.09469437844433296,0.066196837893721,0.1432176512208001,0.09475136056015462,0.09469437844433296,0.066196837893721,0.1432176512208001,0.21460131406107294,0.213665889951392,0.1661309706957656,0.2887127897714778,0.21460131406107294,0.213665889951392,0.1661309706957656,0.2887127897714778,2.0422,2.0,1.0,3.0,2.0422,2.0,1.0,3.0,4.766,5.0,4.0,6.0,4.766,5.0,4.0,6.0,46.9334,46.0,16.0,93.0,38.867,38.0,11.0,77.0,121.7244,124.0,67.0,198.0,78.8856,79.0,45.0,122.0,2.0422,2.0,1.0,3.0,4.766,5.0,4.0,6.0,2.105585790225659,2.104319520985178,1.4710408420826897,3.182614471573337,2.105585790225659,2.104319520985178,1.4710408420826897,3.182614471573337,4.768918090246066,4.748130887808712,3.691799348794793,6.415839772699508,4.768918090246066,4.748130887808712,3.691799348794793,6.415839772699508,0.022499999999999996,0.0225,0.0225,0.0225,22.1576,22.0,21.0,23.0,16.172,16.0,12.0,20.0
1000,fixed_delta_0.045,F_delta_0.045,0.045,4995,0.9995995995995997,0.004804804804804805,0.089126475375114,0.0888621495740567,0.0663067432630359,0.1210955784404827,0.089126475375114,0.0888621495740567,0.0663067432630359,0.1210955784404827,0.2057613711106509,0.204938884824658,0.1646419799406732,0.2701986141410192,0.2057613711106509,0.204938884824658,0.1646419799406732,0.2701986141410192,2.0044044044044043,2.0,1.0,3.0,2.0044044044044043,2.0,1.0,3.0,4.560760760760761,5.0,4.0,6.0,4.560760760760761,5.0,4.0,6.0,61.36996996996997,61.0,23.0,121.0,51.04024024024024,51.0,18.0,91.0,154.25445445445445,156.0,100.0,252.0,101.74394394394395,102.0,64.0,150.0,2.0044044044044043,2.0,1.0,3.0,4.560760760760761,5.0,4.0,6.0,1.980588341669201,1.9747144349790389,1.473483183623021,2.6910128542329503,1.980588341669201,1.9747144349790389,1.473483183623021,2.6910128542329503,4.572474913570021,4.554197440547956,3.6587106653482935,6.004413647578205,4.572474913570021,4.554197440547956,3.6587106653482935,6.004413647578205,0.022499999999999992,0.0225,0.0225,0.0225,22.212612612612613,22.0,21.0,23.0,16.73893893893894,17.0,12.0,20.0
