n,regime,scenario,delta,in_general,in_frontier,design_scope,method,n_total,n_raw_success,raw_success_rate,raw_failure_rate,n_minimal_usable,minimal_usability_rate,n_nonusable,nonusable_rate,n_support_adequate,support_adequacy_rate,n_rbc_support_adequate,rbc_support_adequacy_rate,n_formal_support_ok,formal_support_ok_rate,n_frontier_display_ok,frontier_display_ok_rate,coverage_conditional_on_raw_success,coverage_conditional_on_minimal_usable,coverage_unconditional,coverage,coverage_mc_se,bias,abs_bias_over_avg_se,sd,rmse,avg_length,median_length,p90_length,p95_length,p99_length,trimmed_mean_length,pathological_length_rate,avg_estimate,avg_se,miss_below_rate,miss_above_rate,avg_h_left,avg_h_right,avg_b_left,avg_b_right,avg_local_support_score,avg_min_unique_h,avg_min_unique_b,avg_unique_h_left,avg_unique_h_right,avg_unique_b_left,avg_unique_b_right,avg_h_over_delta_left,avg_h_over_delta_right,avg_b_over_delta_left,avg_b_over_delta_right,avg_nearest_support_distance,avg_mass_share_h_left,avg_mass_share_h_right,avg_mass_share_b_left,avg_mass_share_b_right,avg_bias_bound,delta_plot,delta_label_plot,coverage_display_ok,min_display_usable
2000,fixed_delta_0.015,F_delta_0.015,0.015,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,4505,0.901,0.9974,0.9974,0.9974,0.9974,0.0007201722016295889,0.031532621240982314,0.7589697825123143,0.04621954357371178,0.05594752149334102,0.3045289270626115,0.3018254579111894,0.3481863579113535,0.36362024415488264,0.3949629631366007,0.3041527080664425,0.0,-3.418467378759018,0.04154660958517238,0.0012,0.0014,0.07506371297058018,0.07506371297058018,0.18081299818628158,0.18081299818628158,5.0116,5.0116,12.0538,5.0116,5.0116,12.0538,12.0538,5.004247531372015,5.004247531372015,12.054199879085443,12.054199879085443,0.0075,0.9498411699321081,0.9414412856488356,0.9545317603067192,0.9346932339183007,0.07083460506462115,0.015,0.015,True,30
3000,fixed_delta_0.015,F_delta_0.015,0.015,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,3010,0.602,0.9986,0.9986,0.9986,0.9986,0.000528779727296718,0.026950851657078306,0.7564836413715205,0.03872679604812934,0.0471785246086481,0.26124804802681123,0.26029079815744005,0.2904796805578092,0.3003254039115123,0.3178222711583616,0.2610925615033784,0.0,-3.423049148342922,0.035626483089860154,0.001,0.0004,0.06880649306643832,0.06880649306643832,0.1698926657604318,0.1698926657604318,4.606,4.606,11.3296,4.606,4.606,11.3296,11.3296,4.587099537762558,4.587099537762558,11.326177717362123,11.326177717362123,0.0075,0.9664646034704975,0.9613578492872129,0.9694436035941834,0.9570767018813132,0.06079740026145436,0.015,0.015,True,30
4000,fixed_delta_0.015,F_delta_0.015,0.015,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,1302,0.2604,0.9982,0.9982,0.9982,0.9982,0.0005994597567810576,0.024657525415996008,0.7726416154975337,0.03395769511996009,0.041962935937432645,0.23587591449996134,0.23496473591277395,0.25877932600491305,0.2660649385177149,0.2801548964187829,0.2357661782505,0.0,-3.425342474584004,0.03191327637732544,0.0012,0.0006,0.06471333441018538,0.06471333441018538,0.1626397554215606,0.1626397554215606,4.258,4.258,10.8474,4.258,4.258,10.8474,10.8474,4.314222294012361,4.314222294012361,10.842650361437377,10.842650361437377,0.0075,0.9747614788937535,0.9712275045792339,0.976956154329563,0.9680887263715049,0.05538908492174983,0.015,0.015,True,30
5000,fixed_delta_0.015,F_delta_0.015,0.015,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,414,0.0828,0.999,0.999,0.999,0.999,0.0004469899327725404,0.02316975826538078,0.7941477754237316,0.030972164899522155,0.038677135902748266,0.21806575842700157,0.2175327035637222,0.23745323349949618,0.24393352594974121,0.25608305834972883,0.21801129868157335,0.0,-3.4268302417346197,0.029175625724089126,0.0004,0.0006,0.061694802725123406,0.061694802725123406,0.1572047955130935,0.1572047955130935,4.0724,4.0724,10.4812,4.0724,4.0724,10.4812,10.4812,4.1129868483415635,4.1129868483415635,10.480319700872904,10.480319700872904,0.0075,0.9797799757163029,0.9771061299951176,0.9814934188128777,0.9746573782155012,0.05184970356786564,0.015,0.015,True,30
500,fixed_delta_0.02,F_delta_0.02,0.02,True,True,both,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,4218,0.8436,0.9968,0.9968,0.9968,0.9968,0.0007987189743583135,0.056601100835758894,0.8247133601995921,0.08217089743868267,0.09977169233014481,0.5495567818601982,0.5304043702497077,0.6957056628612861,0.7689924598036157,0.9119665898125974,0.5469804083853858,0.0,-3.3933988991642416,0.0686312403403537,0.0018,0.0014,0.10388674282293296,0.10388674282293296,0.22713008784073263,0.22713008784073263,5.1612,5.1612,11.2274,5.1804,5.1682,11.344,11.2344,5.194337141146651,5.194337141146651,11.356504392036632,11.356504392036632,0.01,0.8510338231658888,0.8150805144822618,0.8675515553678531,0.7925155272244421,0.14026363164869324,0.02,0.02,True,30
750,fixed_delta_0.02,F_delta_0.02,0.02,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,3090,0.618,0.9972,0.9972,0.9972,0.9972,0.000747283078893136,0.04680967899821171,0.7780509515313923,0.0709100597810127,0.08496103211912377,0.4619605259102509,0.453743222375186,0.5549018275511199,0.5930781841589131,0.689207547116566,0.4605579589789732,0.0,-3.403190321001788,0.0601627424348996,0.0016,0.0012,0.09328356183033874,0.09328356183033874,0.21078712169379551,0.21078712169379551,4.6604,4.6604,10.5294,4.6616,4.6606,10.5424,10.5296,4.6641780915169395,4.6641780915169395,10.539356084689777,10.539356084689777,0.01,0.9001287310821355,0.8784839513460873,0.9107800249900844,0.8636136581379426,0.11306345457156253,0.02,0.02,True,30
1000,fixed_delta_0.02,F_delta_0.02,0.02,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,1868,0.3736,0.998,0.998,0.998,0.998,0.0006318227599572528,0.04252256388355587,0.7831880806873197,0.06258674459242751,0.07566033054242563,0.4159302587370797,0.41075016670553177,0.4883055033528354,0.5158230435166686,0.5707704289146458,0.4150903304871246,0.0,-3.407477436116444,0.05429419181946487,0.0008,0.0012,0.08757063080062606,0.08757063080062606,0.20168503965185328,0.20168503965185328,4.365,4.365,10.0752,4.365,4.365,10.0754,10.0752,4.378531540031305,4.378531540031305,10.084251982592665,10.084251982592665,0.01,0.9250162657089368,0.9098370281231523,0.9327388389557749,0.8989706047678099,0.10155046883267942,0.02,0.02,True,30
1500,fixed_delta_0.02,F_delta_0.02,0.02,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,404,0.0808,0.9976,0.9976,0.9976,0.9976,0.0006919884392097831,0.037092131647858795,0.79670541704623,0.052797407187609245,0.06452003504861997,0.3583476443681099,0.3555590675243674,0.41239154580325754,0.4308411844064884,0.46843685724691486,0.35794842009083805,0.0,-3.412907868352141,0.04655689650683832,0.0012,0.0012,0.08020836163997404,0.08020836163997404,0.18966549070880898,0.18966549070880898,4.013,4.013,9.4758,4.013,4.013,9.4758,9.4758,4.010418081998703,4.010418081998703,9.48327453544045,9.48327453544045,0.01,0.9499370763540325,0.940837518832288,0.954800675102197,0.9338509951519968,0.08792398179869307,0.02,0.02,True,30
2000,fixed_delta_0.02,F_delta_0.02,0.02,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,55,0.011,0.9984,0.9984,0.9984,0.9984,0.0005652326954449903,0.03382574748673279,0.8076261446864857,0.04699145205024318,0.057895907623193486,0.3208281464266676,0.31918259510957414,0.366776337064758,0.381515794517972,0.4086346677777649,0.3205463213495156,0.0,-3.416174252513268,0.04188292777453816,0.0008,0.0008,0.07544232242599201,0.07544232242599201,0.18160489238416846,0.18160489238416846,3.8318,3.8318,9.0848,3.8318,3.8318,9.0848,9.0848,3.772116121299603,3.772116121299603,9.080244619208425,9.080244619208425,0.01,0.9624648238394584,0.9560243948139778,0.9659247720071771,0.9509549846845228,0.0783250432081466,0.02,0.02,True,30
3000,fixed_delta_0.02,F_delta_0.02,0.02,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,0,0.0,0.9992,0.9992,0.9992,0.9992,0.0003998399679871993,0.029104485577866213,0.8047145745180804,0.03900919360068773,0.04866707226340087,0.268752679563794,0.2663601039667274,0.30423575854862084,0.3157090414964453,0.33849595422358403,0.2684574796696797,0.0,-3.420895514422134,0.03616746421586315,0.0006,0.0002,0.0691522838490866,0.0691522838490866,0.1706439036278071,0.1706439036278071,3.42,3.42,8.5288,3.42,3.42,8.5288,8.5288,3.457614192454332,3.457614192454332,8.532195181390358,8.532195181390358,0.01,0.9748219491369066,0.971028199997728,0.9770943223275824,0.9677790658980939,0.0634894125066639,0.02,0.02,True,30
4000,fixed_delta_0.02,F_delta_0.02,0.02,True,False,general,Bias-aware/Honest,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,4999,0.9998,5000,1.0,0,0.0,0.9996,0.9996,0.9996,0.9996,0.0002827861382741226,0.027373430612989323,0.8477889497870046,0.033809684015382736,0.0434990898502201,0.2377128177070492,0.2352527192549036,0.2631639669509789,0.27182882199396224,0.29078781209819693,0.23744352808557245,0.0,-3.4226265693870106,0.03228802477298923,0.0004,0.0,0.06506497689182561,0.06506497689182561,0.16335471620723524,0.16335471620723524,3.1376,3.1376,8.1708,3.1376,3.1376,8.1708,8.1708,3.253248844591283,3.253248844591283,8.167735810361764,8.167735810361764,0.01,0.9810499687850915,0.9784450580867702,0.9827287870999979,0.9760491746158828,0.055573043166528543,0.02,0.02,True,30
